epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
23,100,0,823,18929,0.000725,2.0167,2.0167,0.1884,0.1884,0.0622,0.0622,18670.0,2
23,100,100,823,19029,0.000725,1.4623,1.4683,0.18695,0.188,0.05,0.0784,18670.0,2
23,100,200,823,19129,0.000725,1.4632,1.46555,0.18630000000000002,0.18769999999999998,0.0516,0.0746,18670.0,2
23,100,300,823,19229,0.000725,1.4629500000000002,1.46455,0.18695,0.18735000000000002,0.0498,0.0751,18670.0,2
23,100,400,823,19329,0.000725,1.4633,1.4642,0.1846,0.18735000000000002,0.0524,0.0769,18670.0,2
23,100,500,823,19429,0.000725,1.4638,1.464,0.185,0.18714999999999998,0.0717,0.0772,18670.0,2
23,100,600,823,19529,0.000725,1.4622,1.4638,0.186,0.18705,0.0752,0.0765,18670.0,2
23,100,700,823,19629,0.000725,1.4655,1.4637,0.19080000000000003,0.187,0.0665,0.0774,18670.0,2
23,100,800,823,19729,0.000725,1.4623,1.4635500000000001,0.1847,0.1868,0.097,0.0758,18670.0,2
24,100,0,823,19752,0.000725,1.9735,1.9735,0.183,0.183,0.0865,0.0865,18670.0,2
24,100,100,823,19852,0.000725,1.4624,1.4672,0.1767,0.1854,0.0613,0.0768,18670.0,2
24,100,200,823,19952,0.000725,1.4613,1.4647,0.18369999999999997,0.18530000000000002,0.0491,0.0758,18670.0,2
24,100,300,823,20052,0.000725,1.46155,1.4639,0.18185,0.18514999999999998,0.1033,0.0768,18670.0,2
24,100,400,823,20152,0.000725,1.4641,1.4634,0.18409999999999999,0.18495,0.0519,0.0767,18670.0,2
24,100,500,823,20252,0.000725,1.4591,1.463,0.18225,0.1848,0.0761,0.0757,18670.0,2
24,100,600,823,20352,0.000725,1.4629,1.4626,0.18580000000000002,0.18480000000000002,0.0749,0.0771,18670.0,2
24,100,700,823,20452,0.000725,1.4601,1.4624,0.18005,0.1846,0.0682,0.0763,18670.0,2
24,100,800,823,20552,0.000725,1.46095,1.4622,0.18464999999999998,0.1844,0.0573,0.0763,18670.0,2
25,100,0,823,20575,0.000725,2.0709999999999997,2.0709999999999997,0.18719999999999998,0.18719999999999998,0.0719,0.0719,18670.0,2
25,100,100,823,20675,0.000725,1.4601,1.4664,0.184,0.183,0.0971,0.0693,18670.0,2
25,100,200,823,20775,0.000725,1.46285,1.46375,0.18115,0.18325,0.0422,0.0707,18670.0,2
25,100,300,823,20875,0.000725,1.4608,1.4628,0.18135,0.183,0.0792,0.0714,18670.0,2
25,100,400,823,20975,0.000725,1.4608,1.4623,0.18545,0.1827,0.0388,0.0705,18670.0,2
25,100,500,823,21075,0.000725,1.4627,1.4621,0.17595,0.18255,0.0417,0.0718,18670.0,2
25,100,600,823,21175,0.000725,1.4602,1.462,0.1777,0.18235,0.0806,0.0725,18670.0,2
25,100,700,823,21275,0.000725,1.4616,1.4619,0.18605,0.1823,0.0981,0.0733,18670.0,2
25,100,800,823,21375,0.000725,1.4613,1.4619,0.1815,0.18225,0.0793,0.0726,18670.0,2
26,100,0,823,21398,0.000725,2.5506,2.5506,0.1818,0.1818,0.0537,0.0537,18670.0,2
26,100,100,823,21498,0.000725,1.46305,1.472,0.18380000000000002,0.18095,0.0424,0.069,18670.0,2
26,100,200,823,21598,0.000725,1.4604499999999998,1.4667,0.18045,0.1809,0.0513,0.0698,18670.0,2
26,100,300,823,21698,0.000725,1.4611,1.465,0.18005,0.18095,0.0695,0.0689,18670.0,2
26,100,400,823,21798,0.000725,1.4622,1.4642499999999998,0.18275,0.1807,0.0904,0.0701,18670.0,2
26,100,500,823,21898,0.000725,1.463,1.4638499999999999,0.17895,0.18055,0.0601,0.0709,18670.0,2
26,100,600,823,21998,0.000725,1.4605,1.46345,0.1855,0.18035,0.0891,0.0704,18670.0,2
26,100,700,823,22098,0.000725,1.462,1.4630999999999998,0.17915,0.18035,0.1157,0.0699,18670.0,2
26,100,800,823,22198,0.000725,1.4625,1.46285,0.18225,0.1802,0.1127,0.07,18670.0,2
27,100,0,823,22221,0.000725,2.01345,2.01345,0.18055,0.18055,0.0721,0.0721,18670.0,2
27,100,100,823,22321,0.000725,1.45885,1.4661,0.18109999999999998,0.179,0.0506,0.0633,18670.0,2
27,100,200,823,22421,0.000725,1.4615,1.4635,0.18265,0.17895,0.0548,0.068,18670.0,2
